absolute_course_url,course_name,subject_name
https://www.class-central.com/mooc/1176/open2study-concepts-in-game-development,Concepts in Game Development,Programming 
https://www.class-central.com/mooc/4191/coursera-responsive-website-basics-code-with-html-css-and-javascript,"Responsive Website Basics: Code with HTML, CSS, and JavaScript ",Programming 
https://www.class-central.com/mooc/4211/coursera-character-design-for-video-games,Character Design for Video Games,Programming 
https://www.class-central.com/mooc/4292/coursera-front-end-javascript-frameworks-angularjs,Front-End JavaScript Frameworks: AngularJS,Programming 
https://www.class-central.com/mooc/4261/coursera-mastering-the-software-engineering-interview,Mastering the Software Engineering Interview,Programming 
https://www.class-central.com/mooc/4266/coursera-como-criar-jogos-2d-para-iphone-e-ipad,Como criar jogos 2D para iPhone e iPad,Programming 
https://www.class-central.com/mooc/5670/coursera-principios-de-desenvolvimento-agil-de-software,Princípios de Desenvolvimento Ágil de Software,Programming 
https://www.class-central.com/mooc/5598/coursera-desarrollo-de-aplicaciones-web-conceptos-basicos,Desarrollo de Aplicaciones Web: Conceptos Básicos,Programming 
https://www.class-central.com/mooc/5497/coursera-web-application-development-basic-concepts,Web Application Development: Basic Concepts,Programming 
https://www.class-central.com/mooc/5719/coursera-build-your-first-android-app-project-centered-course,Build Your First Android App (Project-Centered Course),Programming 
https://www.class-central.com/mooc/5815/coursera-how-to-create-a-website-in-a-weekend-project-centered-course,How To Create a Website in a Weekend! (Project-Centered Course),Programming 
https://www.class-central.com/mooc/5447/coursera-desarrollo-de-aplicaciones-avanzadas-con-android,Desarrollo de aplicaciones avanzadas con Android,Programming 
https://www.class-central.com/mooc/5461/coursera-desarrollo-de-aplicaciones-con-android,Desarrollo de aplicaciones con Android,Programming 
https://www.class-central.com/mooc/7272/coursera------,Методологии антикризисного жизненного цикла корпоративных систем,Programming 
https://www.class-central.com/mooc/529/coursera-creative-programming-for-digital-media-mobile-apps,Creative Programming for Digital Media & Mobile Apps,Programming 
https://www.class-central.com/mooc/1737/coursera--the-advanced-object-oriented-technology,面向对象技术高级课程（The Advanced Object-Oriented Technology）,Programming 
https://www.class-central.com/mooc/4229/coursera-server-side-development-with-nodejs,Server-side Development with NodeJS,Programming 
https://www.class-central.com/mooc/5676/coursera-tdd-desenvolvimento-de-software-guiado-por-testes,TDD – Desenvolvimento de Software Guiado por Testes,Programming 
https://www.class-central.com/mooc/5513/coursera-engineering-maintainable-android-apps,Engineering Maintainable Android Apps,Programming 
https://www.class-central.com/mooc/3396/coursera-introduction-to-programming-with-matlab,Introduction to Programming with MATLAB,Programming 
https://www.class-central.com/mooc/4197/coursera-rails-with-active-record-and-action-pack,Rails with Active Record and Action Pack,Programming 
https://www.class-central.com/mooc/4212/coursera-object-oriented-programming-in-java,Object Oriented Programming in Java,Programming 
https://www.class-central.com/mooc/385/coursera-learn-to-program-the-fundamentals,Learn to Program: The Fundamentals,Programming 
https://www.class-central.com/mooc/671/coursera-c-for-c-programmers-part-a,"C++ For C Programmers, Part A",Programming 
https://www.class-central.com/mooc/1377/coursera-----latex-introduction-to-latex,Документы и презентации в LaTeX (Introduction to LaTeX),Programming 
https://www.class-central.com/mooc/4268/coursera-foundations-of-objective-c-app-development,Foundations of Objective-C App Development,Programming 
https://www.class-central.com/mooc/4270/coursera-html-css-and-javascript-for-web-developers,"HTML, CSS, and Javascript for Web Developers",Programming 
https://www.class-central.com/mooc/4294/coursera-introduction-to-css3,Introduction to CSS3,Programming 
https://www.class-central.com/mooc/4307/coursera-introduction-to-html5,Introduction to HTML5,Programming 
https://www.class-central.com/mooc/4321/coursera-ruby-on-rails-web-services-and-integration-with-mongodb,Ruby on Rails Web Services and Integration with MongoDB,Programming 
https://www.class-central.com/mooc/4643/coursera-arte-3d-y-animacion-en-videojuegos,Arte 3D y animación en videojuegos,Programming 
https://www.class-central.com/mooc/5456/coursera-fundamentos-de-android,Fundamentos de Android,Programming 
https://www.class-central.com/mooc/5526/coursera-c-,系统平台与C#程序基础,Programming 
https://www.class-central.com/mooc/5564/coursera-managing-an-agile-team,Managing an Agile Team,Programming 
https://www.class-central.com/mooc/5502/coursera-getting-started-agile-meets-design-thinking,Getting Started: Agile Meets Design Thinking,Programming 
https://www.class-central.com/mooc/6290/coursera-functional-program-design-in-scala,Functional Program Design in Scala,Programming 
https://www.class-central.com/mooc/7313/edx-java-fundamentals-for-android-development,Java Fundamentals for Android Development,Programming 
https://www.class-central.com/mooc/4295/coursera-interactivity-with-javascript,Interactivity with JavaScript,Programming 
https://www.class-central.com/mooc/4283/coursera-single-page-web-applications-with-angularjs,Single Page Web Applications with AngularJS,Programming 
https://www.class-central.com/mooc/4288/coursera-web-application-development-with-javascript-and-mongodb,Web Application Development with JavaScript and MongoDB,Programming 
https://www.class-central.com/mooc/4199/coursera-relational-database-support-for-data-warehouses,Relational Database Support for Data Warehouses,Programming 
https://www.class-central.com/mooc/4257/coursera-story-and-narrative-development-for-video-games,Story and Narrative Development for Video Games,Programming 
https://www.class-central.com/mooc/4175/coursera-app-design-and-development-for-ios,App Design and Development for iOS,Programming 
https://www.class-central.com/mooc/4315/coursera-game-development-for-modern-platforms,Game Development for Modern Platforms,Programming 
https://www.class-central.com/mooc/4190/coursera-advanced-styling-with-responsive-design,Advanced Styling with Responsive Design,Programming 
https://www.class-central.com/mooc/4258/coursera-ruby-on-rails-an-introduction,Ruby on Rails: An Introduction,Programming 
https://www.class-central.com/mooc/4323/coursera-java-programming-principles-of-software-design,Java Programming: Principles of Software Design,Programming 
